"","CSA.FC12_VMT","CSA.FC3_VMT","CSA.FC4_VMT","CSA.EmpOff_SQ","CSA.EmpInd_SQ","CSA.EmpSer_SQ","CSA.ActEnt","CSA..Intercept."
"190",-0.000543553716252002,-0.000206300928545948,-0.0198091268426033,-0.00026522385029114,-0.00153544568575047,-0.00453895901492278,-0.00592628435298086,-0.252925146382987
"192",0.00192652226341096,0.00135178367173728,0.00322312905445893,0.00397406734916306,0.00513279128993568,0.00692271346493931,0.00764625552264807,0.463359358298016
"194",0.000222250824124711,0.00345866589279798,0.00469789163053793,-0.000454310440546522,0.00507764120821786,0.00727315242103507,0.00313687831691871,0.303935195508611
"198",0.000877753550721735,0.00531853575662807,-0.0117257299971361,-0.00323328865341184,0.00548317325828579,0.011732347218068,-0.00660295310217385,-0.17028572669816
"200",-0.000130293224396185,-0.000425285772493664,-0.0143509861845824,-0.00275101740433811,-0.000972800521023302,-0.00600551121923363,-0.00491192568780394,-0.148360230235825
"204",0.00302687343127348,-0.00030134533224537,0.0647765472806871,0.00854786347944328,0.00253163426448685,-0.00229337657665309,0.0155059539620797,0.363807199452479
"206",0.00216469238158332,-0.0072039866915102,0.0549861765788602,0.00785820413977372,-0.0061311324106176,-0.0477828298581254,0.00425529788851054,0.201291067791004
"209",-0.00103541486207043,-0.00176303017309585,-0.0176909306321965,-0.00474596395467888,-0.004098560490462,-0.0140374061559156,-0.0104976028145557,-0.352463858350319
"212",-4.41678832229508e-05,0.000739099266982689,0.00460472361353462,0.00246798389102666,-0.00113364053593285,0.0085613346559309,-0.00459774340311732,0.0634076541850412
"216",-0.00764684129750101,0.00428803129118847,-0.0516862295599186,-0.000415041292138054,-0.00490333948129394,0.00140778727202828,0.00696357986501504,0.0835546128395743
"217",0.000148669428651094,-0.000348050949229744,-0.00179500037422699,-0.00195978697188089,-0.000592428254922424,-0.00664475537761985,0.00202359043476996,0.113191480153177
"218",-0.00198997424668566,-0.00826302922588112,-0.0375907164494228,-0.00589704899869534,-0.00481752622761211,-0.0135213427643315,-0.0106215250046559,-0.322515667971933
"220",-0.00128223516836019,-0.000202706269354702,0.0345466655271618,0.000364364719439808,0.00617301462721218,0.00393611333907751,-0.00307512553434399,-0.0324483589576432
"221",9.1754539940442e-05,-0.000304362827402535,-0.00437278361211244,-0.00121528232732199,-0.00108812647935913,-0.00414747922144082,-0.00126690918614543,-0.0413912184540341
"222",2.18459811248527e-05,-0.000608857121504802,0.00568748823738436,-0.000152353566815207,-0.00266808243845627,-0.00254515466420278,-0.00182480763822764,0.0499156146556366
"232",-0.000286484395267227,-0.000806593009551523,-0.00570915037362124,-0.00210930616920978,-0.00172880326720418,-0.00570986297791686,-0.00837376929239528,-0.197500917417129
"233",2.51070559630013e-05,0.000348617663575144,-0.00566036291366621,-0.00214940112614759,-0.000340964444324933,-0.000286558381272814,0.000776081102666109,0.0171623783691552
"236",0.000664670493676079,-0.000753070624759733,-0.00456524205560428,-0.00104700189984109,0.000178717296281174,-0.00455390641069777,-0.00227881928765035,-0.161701994411162
"238",6.47916275287381e-05,-0.000808826216039118,-0.0232722667326548,-0.00493386464713379,-0.000891706148631654,-0.0160916776160191,-0.00107543208657197,-0.111163346046779
"240",-0.000631643975575991,0.000698475954565284,0.017752258131576,0.00407902567074319,0.00381905134061144,0.0178169921259735,0.00110048613863896,0.0330311499466974
"244",-4.70734728388772e-05,-0.000373517762021974,0.000632692191146575,-0.000890365353029744,-0.00108413620520678,-0.00512785452999995,-0.00343461129739614,-0.118638967164352
"246",0.0036669225187453,0.000782988691794215,0.0330609671104591,0.00189369940512246,0.00266997209100289,0.0125199046110775,0.0103946329421552,0.157025198840773
"248",-2.27892670399922e-06,-0.000170617996904695,-0.00484826000611856,-0.000166823777349501,0.00109025814348953,0.00337695279623191,-0.00217464568502308,-0.123649774867998
"258",-0.00106069387466166,0.000296509372574669,-0.0195425817681565,-0.00142496587013264,-0.00144162210165068,-0.00455276816166093,-0.00702606767308582,-0.264881920357512
"260",0.000965515761692123,0.00313297721885758,0.00302186100367006,0.0016408704232696,0.00152261901684313,0.00216602579517681,0.00961719386381312,0.269590756355883
"264",-3.11780686507665e-05,-0.00123434404562433,-0.00106639048724933,-0.0033401083877568,-0.00111409672953027,-0.00167760985417278,-0.00216902176831426,0.130931990024275
"266",7.44598056363118e-05,0.000345320973481154,-0.00910119713471972,-0.00110238043076092,0.00640338684921094,0.00336229718525436,-0.00475509012270952,-0.0838969569750154
"267",-0.000164893702692006,-0.00069032516137805,-0.0139971906853393,-0.00287248265681793,-0.00187010375054913,-0.0066042178974337,-0.00214554872549595,-0.140772639497268
"268",0.00578342361328489,0.00325922218902715,0.0323828053672635,0.00830109509045721,0.00527320069896806,0.0173622904029414,0.00388035063839052,-0.0576371423023457
"273",-0.000421020259061973,0.000446623601996144,0.0391287585138606,-0.000979242226431904,0.00103930630084546,0.00213528651805854,0.00110796587182155,0.171259915166465
"274",0.000286275302142089,0.0010878524067093,0.0136253683651051,0.00425411632632617,0.00261710328239853,0.0133645817115214,0.00833150060958057,0.126194384296588
"276",0.00369978222086035,-0.000519051814376361,-0.034652149269019,-0.00172054222296703,-0.00435705720459001,-0.00756507434915728,-0.00349090965088203,0.0053439027857038
"277",0.000807966297617969,0.000568924777970591,-0.00128266923147527,0.00211353216611437,0.00366157160390865,-0.000586974607921388,-0.00215560993824276,0.00559179241511918
"278",0.00012900582952953,-0.000350634234839443,-0.0203746738031599,-0.00114915712387299,-2.13030854260464e-05,0.00184633207634256,0.00595323561210694,0.167712797607715
"280",0.00143435552481679,0.00150841067175898,-0.00286981549297959,0.000327641227822607,0.00400336229706927,0.00559497363388668,0.00702952671574955,0.254991770322359
"284",-1.75859819995039e-05,0.00037245808092331,0.0023674909566608,-0.000332984370912106,-0.00122214256688137,0.00196271549148978,0.00173770431131969,0.166769973380956
"288",-0.00177129989030096,0.00300723371765785,-0.0546598441754382,-0.0017531098386887,-0.000716674508879307,0.0300551404010265,0.00239853635688113,0.627249234477181
"290",0.00137460095916303,0.000941623851829241,0.0121152034023409,0.00143170673441802,0.000162868543381189,0.00180515227001948,0.00223862407876431,-0.0287973180880864
"292",-0.000231846154551454,-0.000886819042149623,-0.00397515723256426,-0.00247350390755628,-0.00149706444118128,-0.00570917780321883,-0.00558954828974944,-0.130907186175791
